year,annual,dates,theme,location,universities,program_pdf,sponsors
2026,8th,"October 22-23, 2026",WISE From All Sides,University of Arkansas,,,
2025,7th,"September 18-19, 2025",WISE From All Sides,University of Arkansas,,Resources/Conference/2025-WISE-Future-Leaders-Symposium program compressed.pdf,
2024,6th,"October 24-25, 2024",WISE From All Sides,University of Arkansas,,Resources/Conference/2024-WISE-Future-Leaders-Symposium.pdf,TBD
